prefix,value_label,value_label_split,value
dbpprop,2011Slogan,['Slogan'],http://dbpedia.org/property/2011Slogan
dbpprop,2012Event,['Event'],http://dbpedia.org/property/2012Event
dbpprop,2013&2014AnugerahMeletopEra,"['Anugerah', 'Meletop', 'Era']",http://dbpedia.org/property/2013&2014AnugerahMeletopEra
dbpprop,2013Location,['Location'],http://dbpedia.org/property/2013Location
dbpprop,2016AccessDate,"['Access', 'Date']",http://dbpedia.org/property/2016AccessDate
dbpprop,2016CarNumber,"['Car', 'Number']",http://dbpedia.org/property/2016CarNumber
dbpprop,21stCenturyBreakdown,"['st', 'Century', 'Breakdown']",http://dbpedia.org/property/21stCenturyBreakdown
dbpprop,247sportsOverall,"['sports', 'Overall']",http://dbpedia.org/property/247sportsOverall
dbpprop,247sportsRefTitle,"['sports', 'Ref', 'Title']",http://dbpedia.org/property/247sportsRefTitle
dbpprop,2cLosses,"['c', 'Losses']",http://dbpedia.org/property/2cLosses
dbpprop,2cName,"['c', 'Name']",http://dbpedia.org/property/2cName
dbpprop,2cPlace,"['c', 'Place']",http://dbpedia.org/property/2cPlace
dbpprop,2cPlayoffs,"['c', 'Playoffs']",http://dbpedia.org/property/2cPlayoffs
dbpprop,2cWins,"['c', 'Wins']",http://dbpedia.org/property/2cWins
dbpprop,2captain,['captain'],http://dbpedia.org/property/2captain
dbpprop,2ndDeputy,"['nd', 'Deputy']",http://dbpedia.org/property/2ndDeputy
dbpprop,2ndDirector,"['nd', 'Director']",http://dbpedia.org/property/2ndDirector
dbpprop,2ndVicechairman,"['nd', 'Vicechairman']",http://dbpedia.org/property/2ndVicechairman
dbpprop,2ndXvCapt,"['nd', 'Xv', 'Capt']",http://dbpedia.org/property/2ndXvCapt
dbpprop,2ndXvCaptain,"['nd', 'Xv', 'Captain']",http://dbpedia.org/property/2ndXvCaptain
dbpprop,2ndtype,['ndtype'],http://dbpedia.org/property/2ndtype
dbpprop,2ndxvCaptain,"['ndxv', 'Captain']",http://dbpedia.org/property/2ndxvCaptain
dbpprop,2v3Score,['Score'],http://dbpedia.org/property/2v3Score
 , , ,http://dbpedia.org/property/2v3W/l
dbpprop,2v5Score,['Score'],http://dbpedia.org/property/2v5Score
 , , ,http://dbpedia.org/property/2v5W/l
dbpprop,2v6Score,['Score'],http://dbpedia.org/property/2v6Score
 , , ,http://dbpedia.org/property/2v6W/l
dbpprop,2v6a,['a'],http://dbpedia.org/property/2v6a
dbpprop,2v7b,['b'],http://dbpedia.org/property/2v7b
dbpprop,3000Chairman,['Chairman'],http://dbpedia.org/property/3000Chairman
dbpprop,32a,['a'],http://dbpedia.org/property/32a
dbpprop,3cLosses,"['c', 'Losses']",http://dbpedia.org/property/3cLosses
dbpprop,3cName,"['c', 'Name']",http://dbpedia.org/property/3cName
dbpprop,3cPlace,"['c', 'Place']",http://dbpedia.org/property/3cPlace
dbpprop,3cPlayoffs,"['c', 'Playoffs']",http://dbpedia.org/property/3cPlayoffs
dbpprop,3cWins,"['c', 'Wins']",http://dbpedia.org/property/3cWins
dbpprop,3g,['g'],http://dbpedia.org/property/3g
dbpprop,3gNetworkSpeed,"['g', 'Network', 'Speed']",http://dbpedia.org/property/3gNetworkSpeed
dbpprop,3mPartner,"['m', 'Partner']",http://dbpedia.org/property/3mPartner
dbpprop,3r,['r'],http://dbpedia.org/property/3r
dbpprop,3rdXvCaptain,"['rd', 'Xv', 'Captain']",http://dbpedia.org/property/3rdXvCaptain
dbpprop,3rddate,['rddate'],http://dbpedia.org/property/3rddate
dbpprop,3rdmargin,['rdmargin'],http://dbpedia.org/property/3rdmargin
dbpprop,3rdmatchno,['rdmatchno'],http://dbpedia.org/property/3rdmatchno
dbpprop,3rdscore,['rdscore'],http://dbpedia.org/property/3rdscore
dbpprop,3rdseed,['rdseed'],http://dbpedia.org/property/3rdseed
dbpprop,3rdspecial,['rdspecial'],http://dbpedia.org/property/3rdspecial
dbpprop,3rdteam,['rdteam'],http://dbpedia.org/property/3rdteam
dbpprop,3rdvenue,['rdvenue'],http://dbpedia.org/property/3rdvenue
dbpprop,3rdwinner,['rdwinner'],http://dbpedia.org/property/3rdwinner
dbpprop,3v2Score,['Score'],http://dbpedia.org/property/3v2Score
 , , ,http://dbpedia.org/property/3v2W/l
dbpprop,3v4Score,['Score'],http://dbpedia.org/property/3v4Score
 , , ,http://dbpedia.org/property/3v4W/l
dbpprop,3v6Score,['Score'],http://dbpedia.org/property/3v6Score
 , , ,http://dbpedia.org/property/3v6W/l
dbpprop,3v6a,['a'],http://dbpedia.org/property/3v6a
dbpprop,3v7b,['b'],http://dbpedia.org/property/3v7b
dbpprop,3w,['w'],http://dbpedia.org/property/3w
dbpprop,4.5–4.,[],http://dbpedia.org/property/4.5–4.
dbpprop,40YardDash,"['Yard', 'Dash']",http://dbpedia.org/property/40YardDash
dbpprop,40YrdDash,"['Yrd', 'Dash']",http://dbpedia.org/property/40YrdDash
dbpprop,49ersCollege,"['ers', 'College']",http://dbpedia.org/property/49ersCollege
dbpprop,49ersDraft,"['ers', 'Draft']",http://dbpedia.org/property/49ersDraft
dbpprop,49ersSince,"['ers', 'Since']",http://dbpedia.org/property/49ersSince
dbpprop,4b,['b'],http://dbpedia.org/property/4b
dbpprop,4optioncolor,['optioncolor'],http://dbpedia.org/property/4optioncolor
dbpprop,4optionlink,['optionlink'],http://dbpedia.org/property/4optionlink
dbpprop,4optionname,['optionname'],http://dbpedia.org/property/4optionname
dbpprop,4r,['r'],http://dbpedia.org/property/4r
dbpprop,4ref,['ref'],http://dbpedia.org/property/4ref
dbpprop,4refnat,['refnat'],http://dbpedia.org/property/4refnat
dbpprop,4s,['s'],http://dbpedia.org/property/4s
dbpprop,4v1Score,['Score'],http://dbpedia.org/property/4v1Score
 , , ,http://dbpedia.org/property/4v1W/l
dbpprop,4v3Score,['Score'],http://dbpedia.org/property/4v3Score
 , , ,http://dbpedia.org/property/4v3W/l
dbpprop,4v5Score,['Score'],http://dbpedia.org/property/4v5Score
 , , ,http://dbpedia.org/property/4v5W/l
dbpprop,4v6a,['a'],http://dbpedia.org/property/4v6a
dbpprop,4v7b,['b'],http://dbpedia.org/property/4v7b
dbpprop,4w,['w'],http://dbpedia.org/property/4w
dbpprop,5.0–5.,[],http://dbpedia.org/property/5.0–5.
dbpprop,5.0−5.,[],http://dbpedia.org/property/5.0−5.
dbpprop,5Inches,['Inches'],http://dbpedia.org/property/5Inches
dbpprop,5g,['g'],http://dbpedia.org/property/5g
dbpprop,5r,['r'],http://dbpedia.org/property/5r
dbpprop,5ref,['ref'],http://dbpedia.org/property/5ref
dbpprop,5refnat,['refnat'],http://dbpedia.org/property/5refnat
dbpprop,5v1Score,['Score'],http://dbpedia.org/property/5v1Score
 , , ,http://dbpedia.org/property/5v1W/l
dbpprop,5v2Score,['Score'],http://dbpedia.org/property/5v2Score
 , , ,http://dbpedia.org/property/5v2W/l
dbpprop,5v4Score,['Score'],http://dbpedia.org/property/5v4Score
 , , ,http://dbpedia.org/property/5v4W/l
dbpprop,5v6a,['a'],http://dbpedia.org/property/5v6a
dbpprop,5v7b,['b'],http://dbpedia.org/property/5v7b
dbpprop,5w,['w'],http://dbpedia.org/property/5w
dbpprop,6.0–6.,[],http://dbpedia.org/property/6.0–6.
dbpprop,6.0−6.,[],http://dbpedia.org/property/6.0−6.
dbpprop,6ps,['ps'],http://dbpedia.org/property/6ps
dbpprop,6s,['s'],http://dbpedia.org/property/6s
 , , ,http://dbpedia.org/property/6s/4s
dbpprop,6v1Score,['Score'],http://dbpedia.org/property/6v1Score
 , , ,http://dbpedia.org/property/6v1W/l
dbpprop,6v1a,['a'],http://dbpedia.org/property/6v1a
dbpprop,6v2Score,['Score'],http://dbpedia.org/property/6v2Score
 , , ,http://dbpedia.org/property/6v2W/l
dbpprop,6v2a,['a'],http://dbpedia.org/property/6v2a
dbpprop,6v3Score,['Score'],http://dbpedia.org/property/6v3Score
 , , ,http://dbpedia.org/property/6v3W/l
dbpprop,6v3a,['a'],http://dbpedia.org/property/6v3a
dbpprop,6v4a,['a'],http://dbpedia.org/property/6v4a
dbpprop,6v5a,['a'],http://dbpedia.org/property/6v5a
dbpprop,6v7b,['b'],http://dbpedia.org/property/6v7b
dbpprop,7.0–7.,[],http://dbpedia.org/property/7.0–7.
dbpprop,7.0−7.,[],http://dbpedia.org/property/7.0−7.
dbpprop,78rpm,['rpm'],http://dbpedia.org/property/78rpm
dbpprop,7C,['C'],http://dbpedia.org/property/7C
dbpprop,7v1b,['b'],http://dbpedia.org/property/7v1b
dbpprop,7v2b,['b'],http://dbpedia.org/property/7v2b
dbpprop,7v3b,['b'],http://dbpedia.org/property/7v3b
dbpprop,7v4b,['b'],http://dbpedia.org/property/7v4b
dbpprop,7v5b,['b'],http://dbpedia.org/property/7v5b
dbpprop,7v6b,['b'],http://dbpedia.org/property/7v6b
